Actors,Rating,Runtime,Title,Year
"Uddika Premarathna, Dilhani Ekanayake, Roshan Ravindra, Menaka Peiris",9.6,113,Aloko Udapadi,2017
"Ozan Agaç, Bedii Akin, Murat Arkin, Eylül Arular",9.4,135,Dag II,2016
"Chanchal Chowdhury, Masuma Rahman Nabila, Bijori Barkatullah, Partho Barua",9.4,147,Aynabaji,2016
"Donavon Warren, Patrick Hume, Diana Gettinger, Kevin McCorkle",9.4,115,Wheels,2014
"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine",9.0,152,The Dark Knight,2008
"Çetin Tekindor, Ismail Hacioglu, Kyung-jin Lee, Kim Seol",8.9,125,Ayla: The Daughter of War,2017
"Aditi Balan, Padmashri Mohammad Ali, Pradeep Anthony, Arnold",8.9,130,Aruvi,2016
"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Ken Watanabe",8.8,148,Inception,2010
"Vijay Sethupathi, Madhavan, Varalaxmi Sarathkumar, Shraddha Srinath",8.8,147,Vikram Vedha,2017
"Mohanlal, Meena, Ansiba, Esther",8.8,160,Drishyam,2013
"Ramin Karimloo, Sierra Boggess, Hadley Fraser, Wendy Ferguson",8.8,137,The Phantom of the Opera at the Royal Albert Hall,2011
"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy",8.6,169,Interstellar,2014
"Nirup Bhandari, Radhika Chetan, Avantika Shetty, Sai Kumar",8.6,149,RangiTaranga,2015
"Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser",8.5,106,Whiplash,2014
"François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot",8.5,112,The Intouchables,2011
"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra",8.5,161,Dangal,2016
"Vijay Deverakonda, Shalini Pandey, Amit Sharma, Rahul Ramakrishna",8.5,182,Arjun Reddy,2017
"Rahman, Prakash Raghavan, Sharath Kumar, Santhosh Krishna",8.5,105,Dhuruvangal Pathinaaru,2016
"Vyacheslav Dovzhenko, Roman Yasinovsky, Andriy Isayenko, Viktor Zhdanov",8.5,112,Cyborgs: Heroes Never Die,2017
"Jayam Ravi, Arvind Swamy, Nayanthara, Nassar",8.5,160,Thani Oruvan,2015
"Kishore Kumar G., Rakshit Shetty, Thara, Achyuth Kumar",8.5,154,Ulidavaru Kandanthe,2014
"Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach",8.4,105,Coco,2017
"Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman",8.4,164,The Dark Knight Rises,2012
"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington",8.4,165,Django Unchained,2012
"Ryûnosuke Kamiki, Mone Kamishiraishi, Ryô Narita, Aoi Yûki",8.4,106,Kimi no na wa.,2016
"Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard",8.4,98,WALL·E,2008
"Aamir Khan, Madhavan, Mona Singh, Sharman Joshi",8.4,170,3 Idiots,2009
"Rinku Rajguru, Akash Thosar, Arbaz Shaikh, Tanaji Galgunde",8.4,174,Sairat,2016
"Karthi, Rakul Preet Singh, Abhimanyu Singh, Bose Venkat",8.4,157,Theeran Adhigaaram Ondru,2017
"Siddharth, Bobby Simha, Lakshmi Menon, Nassar",8.4,171,Jigarthanda,2014
"Vijay Sethupathi, Sanchita Shetty, Radha Ravi, M.S. Bhaskar",8.4,135,Soodhu Kavvum,2013
"Sathish Neenasam, Sruthi Hariharan, Achyuth Kumar, Sabreen Baker",8.4,135,Lucia,2013
"Pooja Kumar, Miles Anderson, Kamal Haasan, Rahul Bose",8.4,148,Vishwaroopam,2013
"Brad Pitt, Diane Kruger, Eli Roth, Mélanie Laurent",8.3,153,Inglourious Basterds,2009
"Edward Asner, Jordan Nagai, John Ratzenberger, Christopher Plummer",8.3,96,Up,2009
"Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp, Lasse Fogelstrøm",8.3,115,Jagten,2012
"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty",8.3,103,Toy Story 3,2010
"Payman Maadi, Leila Hatami, Sareh Bayat, Shahab Hosseini",8.3,123,Jodaeiye Nader az Simin,2011
"Ajay Devgn, Shriya Saran, Tabu, Rajat Kapoor",8.3,163,Drishyam,2015
"Adewale Akinnuoye-Agbaje, Ian McShane, China Anne McClain, Thomas Ian Nicholas",8.3,105,Bilal: A New Breed of Hero,2015
"Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia",8.3,167,Baahubali 2: The Conclusion,2017
"Rajkummar Rao, Mohammed Zeeshan Ayyub, Baljinder Kaur, Tigmanshu Dhulia",8.3,129,Shahid,2012
No actors mentioned,8.3,62,It's Such a Beautiful Day,2012
"Kangana Ranaut, Rajkummar Rao, Lisa Haydon, Jeffrey Ho",8.3,146,Queen,2013
"Nivin Pauly, Sai Pallavi, Madonna Sebastian, Anupama Parameshwaran",8.3,156,Premam,2015
"Milos Bikovic, Petar Strugar, Armand Assante, Viktor Savic",8.3,141,"Montevideo, vidimo se!",2014
"Nazriya Nazim, Nivin Pauly, Dulquer Salmaan, Fahadh Faasil",8.3,171,Bangalore Days,2014
"Payman Maadi, Navid Mohammadzadeh, Parinaz Izadyar, Shabnam Moghadami",8.3,95,Abad va yek rooz,2016
"Mahesh Babu, Kriti Sanon, Nassar, Pradeep Singh Rawat",8.3,170,1 - Nenokkadine,2014
"Milos Bikovic, Petar Strugar, Nina Jankovic, Danina Jeftic",8.3,140,"Montevideo, Bog te video!",2010
