# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 242:         4.921       53.241      10.80  VLIELAND
# 310:         3.596       51.442       8.00  VLISSINGEN
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# FG       = Etmaalgemiddelde windsnelheid (in 0.1 m/s); 
# 
# STN,YYYYMMDD,   FG
# 
  242,20170101,   95
  242,20170102,   98
  242,20170103,  122
  242,20170104,  143
  242,20170105,   63
  242,20170106,   73
  242,20170107,   67
  242,20170108,   34
  242,20170109,   80
  242,20170110,   56
  242,20170111,  151
  242,20170112,  111
  242,20170113,  140
  242,20170114,  127
  242,20170115,   48
  242,20170116,   26
  242,20170117,   35
  242,20170118,   42
  242,20170119,   30
  242,20170120,   13
  242,20170121,   41
  242,20170122,   28
  242,20170123,   38
  242,20170124,   40
  242,20170125,   54
  242,20170126,   73
  242,20170127,   72
  242,20170128,   70
  242,20170129,   73
  242,20170130,   60
  242,20170131,   50
  242,20170201,  100
  242,20170202,   80
  242,20170203,   59
  242,20170204,   50
  242,20170205,   21
  242,20170206,   51
  242,20170207,  104
  242,20170208,   97
  242,20170209,   78
  242,20170210,   73
  242,20170211,   88
  242,20170212,  113
  242,20170213,   97
  242,20170214,   67
  242,20170215,   56
  242,20170216,   89
  242,20170217,   62
  242,20170218,   66
  242,20170219,   77
  242,20170220,  103
  242,20170221,   88
  242,20170222,  105
  242,20170223,  134
  242,20170224,   80
  242,20170225,  119
  242,20170226,  133
  242,20170227,  122
  242,20170228,  110
  242,20170301,   69
  242,20170302,   98
  242,20170303,   70
  242,20170304,   57
  242,20170305,   90
  242,20170306,   36
  242,20170307,   35
  242,20170308,   75
  242,20170309,   86
  242,20170310,   44
  242,20170311,   50
  242,20170312,   57
  242,20170313,   41
  242,20170314,   75
  242,20170315,   51
  242,20170316,   79
  242,20170317,  115
  242,20170318,   74
  242,20170319,  109
  242,20170320,  112
  242,20170321,  102
  242,20170322,   61
  242,20170323,   90
  242,20170324,   68
  242,20170325,   47
  242,20170326,   56
  242,20170327,   49
  242,20170328,   48
  242,20170329,   90
  242,20170330,   83
  242,20170331,   77
  242,20170401,   51
  242,20170402,   47
  242,20170403,   31
  242,20170404,   35
  242,20170405,   85
  242,20170406,   74
  242,20170407,   56
  242,20170408,   23
  242,20170409,   54
  242,20170410,   89
  242,20170411,   80
  242,20170412,  100
  242,20170413,   86
  242,20170414,   85
  242,20170415,  107
  242,20170416,   78
  242,20170417,   78
  242,20170418,   68
  242,20170419,   34
  242,20170420,   71
  242,20170421,   76
  242,20170422,  103
  242,20170423,   78
  242,20170424,   84
  242,20170425,   87
  242,20170426,   59
  242,20170427,   82
  242,20170428,   60
  242,20170429,   44
  242,20170430,  103
  242,20170501,   68
  242,20170502,   75
  242,20170503,   89
  242,20170504,  108
  242,20170505,   81
  242,20170506,   75
  242,20170507,   73
  242,20170508,   90
  242,20170509,   43
  242,20170510,   35
  242,20170511,   81
  242,20170512,   51
  242,20170513,   65
  242,20170514,   67
  242,20170515,   68
  242,20170516,   88
  242,20170517,   35
  242,20170518,   58
  242,20170519,  112
  242,20170520,   75
  242,20170521,   52
  242,20170522,   48
  242,20170523,   63
  242,20170524,   48
  242,20170525,   33
  242,20170526,   63
  242,20170527,   78
  242,20170528,   59
  242,20170529,   54
  242,20170530,   80
  242,20170531,   41
  242,20170601,   29
  242,20170602,   32
  242,20170603,   48
  242,20170604,   74
  242,20170605,   91
  242,20170606,  151
  242,20170607,  148
  242,20170608,  100
  242,20170609,   65
  242,20170610,   64
  242,20170611,   95
  242,20170612,  113
  242,20170613,   58
  242,20170614,   40
  242,20170615,   76
  242,20170616,   94
  242,20170617,   52
  242,20170618,   30
  242,20170619,   30
  242,20170620,   71
